카테고리,키워드,합계,상품수,경쟁도
DVD,강아지구조대DVD,20,2924,146.2
DVD,고디에고,150,324,2.16
DVD,관능의법칙,5050,17,0.0
DVD,까이유대본,830,190,0.23
DVD,내셔널지오그래픽DVD,100,1629,16.29
DVD,너의결혼식DVD,20,28,1.4
DVD,라라랜드블루LP,70,1,0.01
DVD,립프로그DVD43종,20,31,1.55
DVD,립프로그파닉스,400,161,0.4
DVD,마이애미바이스DVD,20,28,0.0
DVD,뮤지컬지붕위의바이올린,5550,309,0.0
DVD,뽀로로DVD영어,20,650,32.5
DVD,생로병사의비밀DVD,20,92,0.0
DVD,성균관스캔들DVD,30,28,0.93
DVD,슈퍼심플송ABC,70,69,0.99
DVD,슈퍼심플송CD,130,45,0.35
DVD,스콜라스틱팝펜프라임,80,15,0.19
DVD,슬기로운의사생활DVD,70,1,0.01
DVD,승리호DVD,30,8,0.0
DVD,신밧드DVD,20,374,18.7
DVD,신용문객잔풀슬립,20,0,0.0
DVD,안젤리나DVD,30,502,16.73
DVD,오투초등3-2,20,206,0.0
DVD,유아영어영재발굴단CD,20,31,0.0
DVD,제로니모DVD,100,457,4.57
DVD,제이크네버랜드DVD,20,28,0.0
DVD,초등학교3학년1학기수학,1200,216,0.18
DVD,초등학교3학년수학천재교육,20,82,0.0
DVD,타요씽씽극장DVD,20,26,0.0
DVD,티모시네유치원,520,138,0.27
DVD,페이트헤븐즈필3장DVD,30,6,0.2
DVD,페파피그대본집,150,4,0.03
DVD,포켓몬스터극장판만화책,20,13,0.65
DVD,피규어로빅스,70,5,0.07
DVD,한글DVD,80,54663,683.29
DVD,해를품은달DVD,20,5,0.25
DVD,4K범블비,20,47,0.0
DVD,4K블루레이영화,40,5628,140.7
DVD,7인의사무라이블루레이,20,26,1.3
DVD,ABBALIVEDVD,20,0,0.0
DVD,DVD극장전,20,5,0.0
DVD,DVD킹미디어,20,100,0.0
DVD,EBS생활영어,1260,4521,3.59
DVD,LICA노인인지기능검사,20,10,0.0
DVD,LOVELETTERDVD,20,0,0.0
DVD,NAPKINMAN,20,0,0.0
DVD,PHONICSSONG,40,71,1.77
DVD,RADWIMPSDVD,20,0,0.0
DVD,SAULHANDEL,20,0,0.0
DVD,UFOTABLE,4300,62,0.0
DVD,갓파쿠와여름방학을DVD,20,91,0.0
DVD,개구쟁이특공대2,1310,8,0.01
DVD,고질라DVD,40,334,8.35
DVD,고질라스틸북,20,2,0.1
DVD,굿모닝맨하탄,430,38,0.09
DVD,그래비티DVD,190,133,0.7
DVD,그사랑얼마나CD,20,116,0.0
DVD,극장판귀멸의칼날DVD,20,61,3.05
DVD,까이유익스플로러,70,190,2.71
DVD,꼬마버스타요영어DVD,20,169,8.45
DVD,냉정과열정사이DVD,30,37,1.23
DVD,뉴까이유DVD,30,139,4.63
DVD,닌자보이란타로DVD,20,28,1.4
DVD,다이노소어DVD,20,366,18.3
DVD,다이노소어트레인,220,154,0.7
DVD,닥터슬럼프박스세트,20,60,3.0
DVD,데이식스DVD,60,94,1.57
DVD,도구와기계의원리DVD,210,92,0.44
DVD,동성서취,1780,25,0.01
DVD,드래곤볼DVD,110,677,6.15
DVD,또오해영대본집,60,5,0.08
DVD,러브레터DVD,30,135,4.5
DVD,리틀아인슈타인DVD,130,79,0.61
DVD,리틀프린세스DVD3집,20,59,2.95
DVD,만화객주,20,26,0.0
DVD,매직스쿨버스1집,20,23,0.0
DVD,명탐정코난베이커가의망령DVD,20,1115,55.75
DVD,명탐정코난진홍의수학여행,160900,0,0.0
DVD,뮤지컬캣츠DVD,20,95,4.75
DVD,뮤직비디오&블루레이,20,2371,0.0
DVD,미션임파서블4DVD,20,54,0.0
DVD,바람과함께사라지다블루레이,20,69,3.45
DVD,베렌스타인베어즈2집세트,40,34,0.85
DVD,베렌스타인베어즈3집세트,20,14,0.0
DVD,별의목소리DVD,20,11,0.55
거실가구,EKTORP%20%EC%97%91%ED%86%A0%EB%A5%B4%ED%94%84,20,0,0.0
거실가구,통가죽소파,1610,33978,21.1
거실가구,2인용가죽쇼파,1340,68168,50.87
거실가구,자코모엘리쉬,1400,222,0.16
거실가구,한샘소파베드,1290,872,0.68
거실가구,천연대리석테이블,930,16112,17.32
거실가구,자코모하모니,1020,263,0.26
거실가구,좌식접이식테이블,1570,128269,81.7
거실가구,미니소파테이블,1690,54172,32.05
거실가구,전동쇼파,1480,36871,24.91
거실가구,이조농방카우치,2510,2377,0.95
거실가구,버즈소파,2180,1971,0.9
거실가구,한샘리클라이너3인용,1930,225,0.12
거실가구,TV테이블,2150,156852,72.95
거실가구,아쿠아텍스,3900,34652,8.89
거실가구,에싸루카스,530,54,0.1
거실가구,고스트테이블,780,3108,3.98
거실가구,일룸사이드테이블,1550,211,0.14
거실가구,패브릭리클라이너,1330,16686,12.55
거실가구,강아지협탁,190,1450,7.63
거실가구,까사미아티비장,770,2435,3.16
거실가구,자코모버블리,2240,282,0.13
거실가구,한샘패브릭소파,1920,1769,0.92
거실가구,가죽4인쇼파,790,118427,149.91
거실가구,거실좌식테이블,1670,218916,131.09
거실가구,라탄티테이블,1690,22683,13.42
거실가구,벨벳소파,1280,89797,70.15
거실가구,스트레스리스,5930,4624,0.78
거실가구,에싸쇼파,6500,11165,1.72
거실가구,일룸거실테이블,1810,408,0.23
거실가구,1인용전동리클라이너,880,12247,13.92
거실가구,거실소파,2560,2014709,787.0
거실가구,쇼파탁자,2920,600620,205.69
거실가구,거실사이드테이블,1460,503918,345.15
거실가구,바매니저,2460,325,0.13
거실가구,수납벤치의자,1540,56502,36.69
거실가구,유리소파테이블,490,24178,49.34
거실가구,자코모르마스,1450,209,0.14
거실가구,고기불판테이블,3890,17940,4.61
거실가구,사이드보드장,950,8197,8.63
거실가구,숙위홈,10910,208,0.02
거실가구,대리석쇼파테이블,1210,46325,38.29
거실가구,장식장추천,2400,718241,299.27
거실가구,패브릭3인쇼파,1150,98226,85.41
거실가구,LC3소파,3230,114,0.04
거실가구,한샘엠마컴포트,1200,30,0.03
거실가구,1800거실장,690,81812,118.57
거실가구,리바트티비장,1320,1772,1.34
거실가구,바이헤이데이,11160,1038,0.09
거실가구,패브릭3인용쇼파,200,98239,491.19
건강관리용품,클린코리아마스크,3180,1116,0.35
건강관리용품,호마스크KF94,4900,881,0.18
건강관리용품,위케어마스크,6700,1099,0.16
건강관리용품,꿈에그린KF94,3180,10,0.0
건강관리용품,쿨가드마스크,560,100,0.0
건강관리용품,하이드로비말차단마스크,4750,45,0.01
건강관리용품,에버그린마스크,27700,2823,0.1
건강관리용품,세이브원바이오,3670,477,0.13
건강관리용품,칼라마스크,5100,87915,17.24
건강관리용품,브리드라이트,1400,456,0.33
건강관리용품,에어퀸마스크,4030,2779,0.69
건강관리용품,라이트마스크,5810,33640,5.79
건강관리용품,비즈마스크줄,2920,27462,9.4
건강관리용품,새부리마스크소형,2320,10722,4.62
건강관리용품,건영KF94,5050,1598,0.32
건강관리용품,아에르라이트,1170,207,0.18
건강관리용품,나잘후레쉬,3130,457,0.15
건강관리용품,수제담배,7950,1182,0.15
건강관리용품,클라우드플라스크,2950,192,0.07
건강관리용품,유웰칼리번,5060,405,0.08
건강관리용품,코빵밴드,6340,226,0.04
건강관리용품,알로에베라액상,5450,561,0.1
건강관리용품,애니가드,14740,11721,0.8
건강관리용품,LED귀이개,2750,16967,6.17
건강관리용품,에이르마스크,9190,59,0.01
건강관리용품,늘푸른마스크,5330,8262,1.55
건강관리용품,코로나19,4857800,17606,0.0
건강관리용품,인견마스크,1770,4424,2.5
건강관리용품,끈없는마스크,8500,735,0.09
건강관리용품,새부리형소형마스크,2790,10563,3.79
건강관리용품,3D입체마스크,6350,65655,10.34
건강관리용품,AD마스크,2760,91287,33.08
건강관리용품,명품마스크,6100,3898,0.64
건강관리용품,블루본새부리형,2600,760,0.29
건강관리용품,살색마스크,3420,162,0.05
건강관리용품,내추럴키스마스크,620,333,0.0
건강관리용품,에어데이즈프리스타일중형,1090,428,0.39
건강관리용품,호마스크소형,700,63,0.0
건강관리용품,새부리형비말차단마스크,1460,5420,3.71
건강측정용품,카디아모바일,370,19,0.05
건강측정용품,블루투스체중계,700,13717,19.6
건강측정용품,소독체온계,100,1018,10.18
건강측정용품,체온계손소독,160,1798,11.24
건강측정용품,손소독열체크,230,882,3.83
건강측정용품,카스H5,20,40,0.0
건강측정용품,피버365체온계,110,85,0.77
건강측정용품,손소독발열체크,270,3766,13.95
건강측정용품,혈압기추천,710,45758,64.45
건강측정용품,SDM-T1,20,21,0.0
건강측정용품,바디플,370,137,0.37
건강측정용품,수동혈압계청진기,80,178,2.23
건강측정용품,청진기아네로이드혈압계,20,1244,62.2
건강측정용품,K9PRO손소독기,120,1445,12.04
건강측정용품,WIMI103,80,8,0.1
건강측정용품,브라운온도계,1110,993,0.89
건강측정용품,전자혈압계,720,11104,15.42
건강측정용품,토비스,28860,2811,0.1
건강측정용품,OSIS체온계,390,62,0.16
건강측정용품,휴비딕유아체중계,280,126,0.45
건강측정용품,HEM-7130,490,132,0.27
건강측정용품,XMTZC01HM,120,9,0.07
건강측정용품,노바스마트체중계,190,113,0.59
건강측정용품,오므론전자혈압계,80,678,8.47
건강측정용품,키측정,680,49127,72.25
건강측정용품,핏코치체중계,340,211,0.62
건강측정용품,T8체중계,590,69,0.12
건강측정용품,손소독디스펜서,650,27786,42.75
건강측정용품,피쿡S3LITE,20,363,18.15
건강측정용품,FANMI체온계,120,65,0.54
건강측정용품,체온계스탠드,120,1172,9.77
건강측정용품,카카오체중계,410,148,0.36
건강측정용품,BPBIO210,70,496,7.09
건강측정용품,가정용체온계,1150,1197,1.04
건강측정용품,가정용혈압계UA-651,20,457,0.0
건강측정용품,일동체온계,400,168,0.42
건강측정용품,핸드폰만보기,550,4585,8.34
건강측정용품,휴대용혈압계,660,1560,2.36
건강측정용품,BP-868,120,402,3.35
건강측정용품,고혈압측정기,270,142,0.53
건강측정용품,리빙선생혈압계,90,1,0.01
건강측정용품,발열체크손소독,270,3789,14.03
건강측정용품,인바디체중계케프,70,1,0.01
건강측정용품,PTD-400,280,498,1.78
건강측정용품,비접촉발열체크,50,3214,64.28
건강측정용품,오므론7130,510,131,0.26
건강측정용품,오므론혈압계HEM-8712,30,82,2.73
건강측정용품,인메디체온계,70,303,4.33
건강측정용품,혈압계청진기,140,1244,8.89
건강측정용품,HBF-701,20,114,5.7
건강측정용품,HEM-6232T,120,27,0.23
건강측정용품,PICOOC,1050,1702,1.62
건강측정용품,가정용오므론혈압기,20,435,21.75
건강측정용품,리트만청진기5260,20,1060,0.0
건강측정용품,소나초음파키재기,310,300,0.97
건강측정용품,손소독체온측정기,100,425,4.25
건강측정용품,스피릿혈압계커프,20,159,7.95
건강측정용품,인바디체중계추천,1970,21626,10.98
건강측정용품,청진기혈압기,30,1244,41.47
건강측정용품,체오미,440,114,0.26
건강측정용품,체온계K9,20,210,10.5
건강측정용품,화상체온계,290,99,0.34
건강측정용품,H20N,260,236,0.91
건강측정용품,INOXPRAN,2040,1720,0.84
건강측정용품,K9PRO자동손소독기,60,1111,18.52
건강측정용품,마이크로체온계,120,808,6.73
건강측정용품,브라운체온계케이스,280,168,0.6
건강측정용품,손소독제겸용체온계,20,3,0.15
건강측정용품,스탠드형손소독체온계,20,288,0.0
건강측정용품,안면체온계,140,1826,13.04
건강측정용품,오므론JPN,80,197,2.46
건강측정용품,오므론손목형자동혈압계,20,94,4.7
건강측정용품,옴론혈압,20,2049,102.45
건강측정용품,이지템비접촉체온계,180,467,2.59
건강측정용품,템플러체중계,20,151,7.55
건강측정용품,핸드폰흔들기,170,229,1.35
건강측정용품,FIX체중계,260,70,0.27
건강측정용품,HFS1000,180,321,1.78
건강측정용품,K3체온계,120,158,1.32
건강측정용품,ST-IFT-3240,340,19,0.06
건강측정용품,TEZUM,270,130,0.48
건강측정용품,YUNMAIMINI2,30,3,0.1
건강측정용품,겐지아스마트바디체중계,120,35,0.29
건강측정용품,기초체온계,200,54,0.27
건강측정용품,롯데인바디체중계,210,497,2.37
